Time, Traffic ID, radar measured  rho, radar measured phi, radar measured rho_dot 
2333333,2,6.20119,2.88029,-4.06941
2366666,0,4.74306,0.945121,2.75578
2366666,1,11.192,-0.356281,-5.73015
2366666,2,6.12024,2.82335,-4.36027
2400000,0,4.41056,0.959236,3.42301
2400000,1,10.574,-0.314379,-5.1236
2400000,2,5.54875,2.85252,-3.76306
2433333,0,4.89085,0.86312,3.15139
2433333,1,10.7668,-0.383883,-5.44977
2433333,2,5.78794,2.76931,-4.09115
2466666,0,4.6878,0.769889,3.62547
2466666,1,10.2746,-0.451651,-5.02435
2466666,2,5.34213,2.68677,-3.65936
2500000,0,5.69742,0.758379,3.72444
2500000,1,10.9936,-0.438822,-4.96836
2500000,2,6.10782,2.68368,-3.58776
2533333,0,5.39578,0.785038,2.81491
2533333,1,10.4,-0.388925,-5.91541
2533333,2,5.56159,2.71643,-4.50889
2566666,0,5.21151,0.748106,3.01748
2566666,1,9.92254
